Topic,Count,Name,CustomName,Representation,Representative_Docs
89,95,89_acoso_bullying_colegio_que,"acoso, bullying, colegio","['acoso', 'bullying', 'colegio', 'que', 'acoso escolar', 'profesor', 'escolar', 'escuela', 'de', 'la']",
90,94,90_netflix_usuarios_cuentas_de netflix,"netflix, usuarios, cuentas","['netflix', 'usuarios', 'cuentas', 'de netflix', 'tiktok', 'plataforma', 'la plataforma', 'compartidas', 'de', 'cuentas compartidas']",
91,93,91_matematicas_numeros_matematicos_sucesion,"matematica, numeros, matematico","['matematicas', 'numeros', 'matematicos', 'sucesion', 'las matematicas', 'es', 'de', 'un', 'de las matematicas', 'en']",
92,93,92_euros_bono_ayuda_renta,"euros, bono, ayuda","['euros', 'bono', 'ayuda', 'renta', 'familias', 'ayudas', 'hogares', 'de euros', 'imv', 'social']",
93,93,93_de_la_el_las,"de, la, el","['de', 'la', 'el', 'las', 'en', 'derechos humanos', 'una', 'con', 'que', 'por']",
94,91,94_peru_protestas_de_la,"peru, protestas, de","['peru', 'protestas', 'de', 'la', 'el', 'que', 'en', 'contra', 'las protestas', 'las']",
95,90,95_robot_robots_que_es,"robot, robots, que","['robot', 'robots', 'que', 'es', 'de', 'los robots', 'el', 'los', 'la', 'no']",
96,89,96_de trafico_trafico_vehiculo_multa,"de trafico, trafico, vehiculo","['de trafico', 'trafico', 'vehiculo', 'multa', 'coche', 'velocidad', 'exceso de velocidad', 'de velocidad', 'multas', 'por']",
97,89,97_euros_de euros_millones_millones de euros,"euros, de euros, millones","['euros', 'de euros', 'millones', 'millones de euros', 'millones de', 'por', 'de', 'del', 'el', 'la']",
98,87,98_que_vox_en_redes,"que, vox, en","['que', 'vox', 'en', 'redes', 'no', 'el', 'sanchez', 'entrevista', 'le', 'su']",
99,86,99_revista_la_de_la revista,"revista, la, de","['revista', 'la', 'de', 'la revista', 'que', 'en', 'el', 'un', 'del', 'por']",
100,86,100_de_que_el_la,"de, que, el","['de', 'que', 'el', 'la', 'las', 'en', 'un', 'para', 'su', 'del']",
101,86,101_contaminacion_pesticidas_aire_salud,"contaminac, pesticidas, aire","['contaminacion', 'pesticidas', 'aire', 'salud', 'sustancias', 'del aire', 'quimicos', 'la contaminacion', 'de', 'los']",
102,86,102_de_en_el_la,"de, en, el","['de', 'en', 'el', 'la', 'que', 'ha', 'un', 'los', 'para', 'por']",
103,85,103_motor_de_en_la,"motor, de, en","['motor', 'de', 'en', 'la', 'que', 'el', 'un', 'una', 'con', 'su']",
104,85,104_mapas_los mapas_mapa_los,"mapas, los mapas, mapa","['mapas', 'los mapas', 'mapa', 'los', 'de', 'chips', 'que', 'en', 'la', 'el']",
105,84,105_de_el_ozono_capa de ozono,"de, el, ozono","['de', 'el', 'ozono', 'capa de ozono', 'la', 'de ozono', 'que', 'la capa de', 'la capa', 'capa de']",
106,84,106_erdogan_elecciones_kemal_kilicdaroglu,"erdogan, elecciones, kemal","['erdogan', 'elecciones', 'kemal', 'kilicdaroglu', 'turquia', 'de', 'en', 'que', 'el', 'la']",
107,83,107_los_de_la_que,"los, de, la","['los', 'de', 'la', 'que', 'una', 'por', 'las', 'en', 'el', 'su']",
108,83,108_brexit_europea_el brexit_ue,"brexit, europea, el brexit","['brexit', 'europea', 'el brexit', 'ue', 'reino', 'reino unido', 'unido', 'la union europea', 'union europea', 'la ue']",
109,81,109_acciones_de tesla_tesla_acciones de,"acciones, de tesla, tesla","['acciones', 'de tesla', 'tesla', 'acciones de', 'millones', 'musk', 'acciones de tesla', 'la', 'de', 'en']",
110,81,110_la_de_que_el,"la, de, que","['la', 'de', 'que', 'el', 'un', 'en', 'se', 'las', 'de la', 'por']",
111,81,111_ruta_de_metros_mas,"ruta, de, metros","['ruta', 'de', 'metros', 'mas', 'la', 'es', 'de la', 'el', 'en', 'un']",
112,81,112_muerte_pena_pena de muerte_de muerte,"muerte, pena, pena de mu","['muerte', 'pena', 'pena de muerte', 'de muerte', 'iran', 'de', 'la pena', 'pena de', 'condenado', 'la']",
113,79,113_de_el_la_del,"de, el, la","['de', 'el', 'la', 'del', 'de la', 'que', 'en', 'su', 'los', 'una']",
114,79,114_windows_de windows_ordenadores_ordenador,"windows, de windows, ordenadore","['windows', 'de windows', 'ordenadores', 'ordenador', 'sistema operativo', 'intel', 'microsoft', 'software', 'bits', 'un']",
115,79,115_bacterias_microbiota_infecciones_microorganismos,"bacterias, microbiota, infeccione","['bacterias', 'microbiota', 'infecciones', 'microorganismos', 'enfermedades', 'mosquitos', 'especies', 'de', 'las bacterias', 'humano']",
116,79,116_la_de_que_en,"la, de, que","['la', 'de', 'que', 'en', 'el', 'su', 'del', 'los', 'de la', 'una']",
117,78,117_que_la_de_el,"que, la, de","['que', 'la', 'de', 'el', 'es', 'en', 'una', 'los', 'se', 'del']",
118,78,118_de_la_los_las,"de, la, los","['de', 'la', 'los', 'las', 'que', 'de la', 'el', 'en', 'europea', 'es']",
119,77,119_que_la_de_en,"que, la, de","['que', 'la', 'de', 'en', 'las', 'el', 'un', 'los', 'se', 'de la']",
120,76,120_trump_bannon_carlson_de trump,"trump, bannon, carlson","['trump', 'bannon', 'carlson', 'de trump', 'donald', 'donald trump', 'kennedy', 'tucker carlson', 'tucker', 'fox']",
121,75,121_irak_guerra_sudan_de irak,"irak, guerra, sudan","['irak', 'guerra', 'sudan', 'de irak', 'la guerra', 'la', 'bush', 'de', 'conflictos', 'en']",
122,75,122_en_el_de_la,"en, el, de","['en', 'el', 'de', 'la', 'un', 'las', 'que', 'del', 'una', 'para']",
123,74,123_la_para_que_un,"la, para, que","['la', 'para', 'que', 'un', 'el', 'de', 'en', 'de la', 'del', 'por']",
124,74,124_aceite_supermercados_produccion_aceite de oliva,"aceite, supermerca, produccion","['aceite', 'supermercados', 'produccion', 'aceite de oliva', 'de oliva', 'aceite de', 'oliva', 'frutas', 'la produccion', 'los']",
125,74,125_bandera_la bandera_bandera de_de,"bandera, la bandera, bandera de","['bandera', 'la bandera', 'bandera de', 'de', 'la', 'de la bandera', 'el', 'banderas', 'del', 'una bandera']",
126,74,126_la_de_guerra_el,"la, de, guerra","['la', 'de', 'guerra', 'el', 'en', 'que', 'guerra civil', 'los', 'la guerra civil', 'de la']",
127,74,127_sueno_que_no_mas,"sueno, que, no","['sueno', 'que', 'no', 'mas', 'el', 'una', 'es', 'los', 'de', 'siesta']",
128,74,128_programa_radio_mediaset_presentadora,"programa, radio, mediaset","['programa', 'radio', 'mediaset', 'presentadora', 'de', 'el programa', 'canal', 'la', 'cadena', 'tv']",
129,72,129_la_de la_que_de,"la, de la, que","['la', 'de la', 'que', 'de', 'el', 'en', 'los', 'por', 'del', 'como']",
130,71,130_que_me_le_en,"que, me, le","['que', 'me', 'le', 'en', 'beso', 'la', 'el', 'de', 'un', 'con']",
131,71,131_rey_el rey_la reina_su,"rey, el rey, la reina","['rey', 'el rey', 'la reina', 'su', 'reina', 'la', 'de', 'el', 'palacio', 'de la']",
132,70,132_racismo_el racismo_que_el,"racismo, el racismo, que","['racismo', 'el racismo', 'que', 'el', 'en', 'la', 'no', 'racistas', 'de', 'pais racista']",
133,70,133_mexico_peru_castillo_presidente,"mexico, peru, castillo","['mexico', 'peru', 'castillo', 'presidente', 'pedro castillo', 'lopez obrador', 'obrador', 'de mexico', 'el presidente', 'presidente de']",
134,70,134_la_de_en_su,"la, de, en","['la', 'de', 'en', 'su', 'el', 'que', 'los', 'con', 'se', 'de la']",
135,68,135_hosteleria_la hosteleria_camareros_hosteleros,"hosteleria, la hostele, camareros","['hosteleria', 'la hosteleria', 'camareros', 'hosteleros', 'de', 'la', 'que', 'de la hosteleria', 'de camareros', 'esta']",
136,68,136_fox_fox news_news_dominion,"fox, fox news, news","['fox', 'fox news', 'news', 'dominion', 'difamacion', 'dominion voting', 'voting', 'por difamacion', 'de', 'carlson']",
137,67,137_de_del_la_que,"de, del, la","['de', 'del', 'la', 'que', 'en', 'no', 'peru', 'el', 'una', 'poder']",
138,65,138_la_de_en_el,"la, de, en","['la', 'de', 'en', 'el', 'de la', 'anos', 'que', 'su', 'gobierno', 'para']",
139,65,139_capitalismo_la_neoliberalismo_marxismo,"capitalism, la, neoliberal","['capitalismo', 'la', 'neoliberalismo', 'marxismo', 'del', 'marx', 'que', 'del capitalismo', 'es', 'de']",
140,65,140_petroleo_de_de petroleo_en,"petroleo, de, de petrole","['petroleo', 'de', 'de petroleo', 'en', 'la', 'del', 'el', 'le', 'los', 'por']",
141,64,141_me_no_de_la,"me, no, de","['me', 'no', 'de', 'la', 'ha', 'que', 'es', 'con', 'un', 'en']",
142,64,142_en_de_la_el,"en, de, la","['en', 'de', 'la', 'el', 'que', 'de la', 'su', 'del', 'los', 'mas']",
143,64,143_la_de_los_en,"la, de, los","['la', 'de', 'los', 'en', 'que', 'el', 'un', 'de la', 'una', 'las']",
144,64,144_hembras_las hembras_una_que,"hembras, las hembra, una","['hembras', 'las hembras', 'una', 'que', 'de', 'la', 'las', 'un', 'los', 'penes']",
145,64,145_escote_el escote_el_del,"escote, el escote, el","['escote', 'el escote', 'el', 'del', 'de', 'en', 'que', 'la', 'los', 'las']",
146,63,146_la_de_en_los,"la, de, en","['la', 'de', 'en', 'los', 'que', 'el', 'una', 'un', 'como', 'de la']",
147,63,147_club_el_negreira_de,"club, el, negreira","['club', 'el', 'negreira', 'de', 'euros', 'la', 'enriquez', 'del', 'en', 'que']",
148,63,148_en_jesus_el_de,"en, jesus, el","['en', 'jesus', 'el', 'de', 'que', 'la', 'no', 'un', 'es', 'de la']",
149,63,149_se_el_de_por,"se, el, de","['se', 'el', 'de', 'por', 'que', 'con', 'un', 'del', 'no', 'ha']",
150,62,150_de_los_en_la,"de, los, en","['de', 'los', 'en', 'la', 'se', 'el', 'del', 'de la', 'las', 'que']",
151,60,151_mujeres_iran_las mujeres_velo,"mujeres, iran, las mujere","['mujeres', 'iran', 'las mujeres', 'velo', 'taliban', 'hiyab', 'las', 'afganistan', 'de iran', 'el velo']",
152,60,152_arboles_madrid_parque_de madrid,"arboles, madrid, parque","['arboles', 'madrid', 'parque', 'de madrid', 'tala', 'de', 'de arboles', 'parque de', 'la', 'la tala']",
153,59,153_filosofia_la filosofia_insectos_que,"filosofia, la filosof, insectos","['filosofia', 'la filosofia', 'insectos', 'que', 'es', 'la', 'proteinas', 'de', 'los insectos', 'el']",
154,59,154_que_de_ganas_el,"que, de, ganas","['que', 'de', 'ganas', 'el', 'la', 'es', 'un', 'del', 'martin', 'en']",
155,59,155_bajas emisiones_de bajas emisiones_de bajas_emisiones,"bajas emis, de bajas e, de bajas","['bajas emisiones', 'de bajas emisiones', 'de bajas', 'emisiones', 'zonas de bajas', 'bajas', 'zonas', 'ciudad', 'trafico', 'zonas de']",
156,59,156_tunel_que_de_un,"tunel, que, de","['tunel', 'que', 'de', 'un', 'la', 'en', 'una', 'del', 'los', 'el']",
157,59,157_arquitectura_edificio_la arquitectura_edificios,"arquitectu, edificio, la arquite","['arquitectura', 'edificio', 'la arquitectura', 'edificios', 'ciudad', 'mas', 'torre', 'building', 'de', 'un']",
158,58,158_ley_la ley_solo si_si es,"ley, la ley, solo si","['ley', 'la ley', 'solo si', 'si es', 'si es si', 'solo si es', 'es si', 'si', 'penas', 'ley del solo']",
159,58,159_demasiado corto_caracteres_texto es demasiado_texto es,"demasiado , caracteres, texto es d","['demasiado corto', 'caracteres', 'texto es demasiado', 'texto es', 'es demasiado corto', 'el texto es', 'es demasiado', 'demasiado corto debe', 'corto debe ser', 'corto debe']",
160,58,160_cnmc_competencia_comision nacional_comision nacional de,"cnmc, competenci, comision n","['cnmc', 'competencia', 'comision nacional', 'comision nacional de', 'la cnmc', 'nacional de los', 'de los mercados', 'mercados la competencia', 'la competencia', 'la comision nacional']",
161,57,161_electoral_la_de_de la,"electoral, la, de","['electoral', 'la', 'de', 'de la', 'al', 'el', 'que', 'para', 'del', 'un']",
